segment,cluster_id,merged_id,cluster_claim
Pro-Climate,Pro-Climate_100,0,Fossil fuel industries should be banned from advertising and sponsorship due to their role in climate harm.
Pro-Climate,Pro-Climate_102,1,Switching to heat pumps is the most efficient and sustainable way to heat and cool buildings.
Pro-Climate,Pro-Climate_109,2,The Inflation Reduction Act is a necessary and effective policy for advancing climate action and economic benefits.
Pro-Climate,Pro-Climate_11,3,Protecting children from the health and educational harms of climate change requires urgent collective action.
Pro-Climate,Pro-Climate_110,4,Human activity driven by fossil fuel emissions is directly worsening the frequency and severity of climate-related disasters.
Pro-Climate,Pro-Climate_112,5,Corporate power is weaponizing the legal system to silence environmental and Indigenous activism.
Pro-Climate,Pro-Climate_113,6,Human-caused climate change is directly increasing the frequency and severity of extreme weather events.
Pro-Climate,Pro-Climate_114,7,A rapid transition to renewable energy and electrification is the only way for Europe to achieve true energy security.
Pro-Climate,Pro-Climate_115,8,Fossil fuel companies should be held financially responsible for the climate damages they have knowingly caused.
Pro-Climate,Pro-Climate_117,9,The fossil fuel industry exerts undue influence over political leaders to suppress climate change awareness and policy.
Pro-Climate,Pro-Climate_12,10,"Federal funding for electric school buses improves children's health, reduces pollution, and lowers long-term costs for schools."
Pro-Climate,Pro-Climate_120,11,"Corporations, not the public, should be held financially responsible for climate damages."
Pro-Climate,Pro-Climate_121,12,Major fossil fuel corporations deliberately deceived the public to delay climate action and evade accountability.
Pro-Climate,Pro-Climate_126,13,"Investing in clean energy drives economic growth, job creation, and energy independence."
Pro-Climate,Pro-Climate_127,14,Michigan is the national leader in driving the clean energy economy and technological innovation.
Pro-Climate,Pro-Climate_128,15,"Battery energy storage systems are essential for creating a reliable, resilient, and sustainable energy grid."
Pro-Climate,Pro-Climate_129,16,Renewable energy is a more cost-effective and reliable alternative to fossil fuels for powering the electrical grid.
Pro-Climate,Pro-Climate_13,17,"Investing in public transit improves environmental, economic, and public health outcomes."
Pro-Climate,Pro-Climate_130,13,Federal investments in clean energy drive economic growth and job creation while reducing pollution.
Pro-Climate,Pro-Climate_133,18,Federal clean energy tax credits deliver economic and social benefits that justify their support.
Pro-Climate,Pro-Climate_134,19,Voting to cut clean energy investments prioritizes tax cuts for the wealthy over job creation and domestic energy production.
Pro-Climate,Pro-Climate_135,20,Solar energy should replace fossil fuels as the world's primary power source.
Pro-Climate,Pro-Climate_136,21,Solar power is the most viable and adaptable solution for a sustainable energy future.
Pro-Climate,Pro-Climate_137,22,Renewable energy projects provide significant economic benefits to rural communities.
Pro-Climate,Pro-Climate_138,23,Solar farms provide significant economic benefits to local communities.
Pro-Climate,Pro-Climate_139,24,Homeowners should act immediately to take advantage of limited-time solar incentives that eliminate upfront costs and significantly reduce energy bills.
Pro-Climate,Pro-Climate_140,25,Leasing solar panels through government-subsidized programs is a better financial option for homeowners than purchasing them outright.
Pro-Climate,Pro-Climate_141,26,"Renewable energy provides the most sustainable and beneficial path forward for Iowa's economy, environment, and communities."
Pro-Climate,Pro-Climate_142,22,Renewable energy projects provide essential economic and generational benefits for farmers and rural communities.
Pro-Climate,Pro-Climate_143,27,Agrivoltaics provides a sustainable and economically viable way to simultaneously produce food and renewable energy on the same land.
Pro-Climate,Pro-Climate_16,28,Sustainable aviation fuel is the most viable solution to decarbonize the aviation industry while driving economic growth.
Pro-Climate,Pro-Climate_17,29,Ethanol should be widely adopted as a primary renewable fuel solution for America’s energy and environmental needs.
Pro-Climate,Pro-Climate_18,30,"Hydrogen is a critical solution for achieving a sustainable, low-emission energy future."
Pro-Climate,Pro-Climate_19,31,"Adopting electric vehicles provides significant economic, environmental, and energy system benefits."
Pro-Climate,Pro-Climate_22,32,Cutting methane emissions is the most effective immediate strategy to slow climate change.
Pro-Climate,Pro-Climate_24,33,Climate change is destabilizing housing markets and exacerbating inequities in homeownership safety and affordability.
Pro-Climate,Pro-Climate_26,34,The U.S.
Pro-Climate,Pro-Climate_27,35,Climate change is causing coffee prices to rise significantly.
Pro-Climate,Pro-Climate_28,36,Indigenous leadership and land rights are essential to effectively addressing the climate crisis.
Pro-Climate,Pro-Climate_29,37,Mangroves are indispensable to environmental health and must be actively protected to combat climate change and preserve biodiversity.
Pro-Climate,Pro-Climate_32,38,Switching to a climate-friendly bank is one of the most effective individual actions to reduce fossil fuel funding and combat climate change.
Pro-Climate,Pro-Climate_36,39,The Trump administration’s weakening of EPA protections increases public health risks and environmental harm.
Pro-Climate,Pro-Climate_37,40,Collective action at the local and community level is the most effective way to address climate change.
Pro-Climate,Pro-Climate_39,41,Allowing fossil fuel development in the Arctic undermines climate goals and endangers critical ecosystems.
Pro-Climate,Pro-Climate_40,8,Corporations responsible for climate pollution should be held financially accountable for the damages they cause.
Pro-Climate,Pro-Climate_41,42,"Climate change is the primary driver of the increasing frequency, intensity, and destructiveness of wildfires."
Pro-Climate,Pro-Climate_45,43,Addressing climate change requires both individual action and collective support to alleviate its mental health impacts.
Pro-Climate,Pro-Climate_49,44,China's dominance in renewable energy is reshaping global energy markets and leadership.
Pro-Climate,Pro-Climate_51,45,Human activity is driving a sixth mass extinction that demands immediate collective action to protect endangered species and their habitats.
Pro-Climate,Pro-Climate_57,46,Corporate greenwashing systematically deceives consumers to protect profits while obstructing genuine environmental progress.
Pro-Climate,Pro-Climate_58,47,Diverting organic waste from landfills is the most effective way to reduce methane emissions and combat climate change.
Pro-Climate,Pro-Climate_6,48,Climate change poses a severe and immediate threat to global public health.
Pro-Climate,Pro-Climate_60,49,Optimizing energy systems through right-sized equipment and renewable sources significantly reduces costs and carbon emissions.
Pro-Climate,Pro-Climate_62,50,"Protecting and sustainably managing ocean ecosystems is essential to combating climate change, ensuring food security, and preserving biodiversity."
Pro-Climate,Pro-Climate_63,51,Partnering with credible institutions and adopting practical sustainability measures is the most effective way to achieve meaningful environmental progress.
Pro-Climate,Pro-Climate_66,52,Individual actions collectively create meaningful environmental change.
Pro-Climate,Pro-Climate_70,53,Political opposition to clean energy policies undermines economic growth and climate progress.
Pro-Climate,Pro-Climate_71,54,Political leaders who deny climate change deliberately suppress evidence to maintain power and avoid accountability.
Pro-Climate,Pro-Climate_83,55,A fair and sustainable society requires dismantling systems that prioritize wealth accumulation over human and environmental well-being.
Pro-Climate,Pro-Climate_85,56,"Pope Francis demonstrated that addressing climate change and social injustice requires confronting systemic greed, inequality, and political indifference."
Pro-Climate,Pro-Climate_86,57,"Republicans prioritize political power and short-term interests over addressing climate change, even at the cost of human survival."
Pro-Climate,Pro-Climate_87,58,"The modern Republican Party is defined by its embrace of conspiracy theories, authoritarianism, and moral corruption."
Pro-Climate,Pro-Climate_88,59,Climate change will force unprecedented global migration and destabilize societies.
Pro-Climate,Pro-Climate_9,60,Propane is a cleaner and more sustainable energy source than traditional fuels for residential and commercial use.
Pro-Climate,Pro-Climate_93,61,"Societal progress requires rejecting leaders and ideologies that deny fundamental human rights, scientific reality, and moral accountability."
Pro-Climate,Pro-Climate_94,62,Political leaders who prioritize fossil fuel profits over climate action will face condemnation from future generations.
Pro-Climate,Pro-Climate_96,63,"A career in nuclear energy offers meaningful, well-paying opportunities that benefit both individuals and the environment."
Pro-Climate,Pro-Climate_98,64,"The Republican-led legislation prioritizes corporate profits and fossil fuel dependence over climate action, public health, and economic stability for working families."
Pro-Climate,Pro-Climate_99,65,Undermining climate science institutions is a deliberate strategy to enable environmental destruction by erasing evidence of climate change.
