segment,cluster_id,merged_id,cluster_claim
Pro-Energy,Pro-Energy_14,0,"Government energy and regulatory policies disproportionately harm small businesses, rural communities, and working families while failing to deliver meaningful benefits."
Pro-Energy,Pro-Energy_19,1,The U.S.
Pro-Energy,Pro-Energy_24,2,Renewable energy projects reduce the need for higher property taxes by generating significant local revenue.
Pro-Energy,Pro-Energy_30,3,The oil and gas industry significantly benefits public education and workforce development.
Pro-Energy,Pro-Energy_31,4,Trump’s energy policies prioritize the fossil fuel industry over renewable alternatives.
Pro-Energy,Pro-Energy_33,5,Renewable energy leasing provides farmers with a sustainable and economically beneficial way to preserve their land and livelihoods.
Pro-Energy,Pro-Energy_34,6,Investing in clean and renewable energy is essential for achieving American energy independence and economic growth.
Pro-Energy,Pro-Energy_35,7,Nuclear energy is the most viable solution for meeting future global energy demands while reducing carbon emissions.
Pro-Energy,Pro-Energy_36,8,Hydrogen energy is the most critical solution for achieving global net-zero emissions and future energy dominance.
Pro-Energy,Pro-Energy_38,9,Iowa's transition to renewable energy has driven economic growth while lowering costs and improving public health.
Pro-Energy,Pro-Energy_39,10,Federal subsidies for renewable energy should be eliminated to protect the economic interests of the oil and natural gas industry.
Pro-Energy,Pro-Energy_41,6,Renewable energy is essential for achieving true American energy independence.
Pro-Energy,Pro-Energy_42,11,Offshore wind is the most viable path to a sustainable and economically beneficial energy future.
Pro-Energy,Pro-Energy_44,12,Expanding domestic oil and gas production is essential for U.S.
Pro-Energy,Pro-Energy_48,13,The oil and gas industry prioritizes profit over public safety and environmental responsibility.
Pro-Energy,Pro-Energy_5,14,South Dakota must reject government-backed efforts to seize private property for Green New Deal projects.
Pro-Energy,Pro-Energy_50,15,Taxpayer money should not subsidize fossil fuel companies.
Pro-Energy,Pro-Energy_51,16,"Trump’s ""drill, baby, drill"" policy failed to increase domestic oil production or lower gas prices."
Pro-Energy,Pro-Energy_54,4,The Trump administration’s environmental policies prioritize corporate interests over public health and ecological protection.
Pro-Energy,Pro-Energy_57,17,Public lands should be protected from fossil fuel extraction rather than exploited for corporate profit.
Pro-Energy,Pro-Energy_58,18,"Protecting the Arctic from oil and gas drilling is necessary to preserve its ecosystems, Indigenous communities, and global climate."
Pro-Energy,Pro-Energy_8,19,"Kamala Harris is a dangerous, hypocritical radical whose policies and leadership would harm America."
