segment,cluster_id,cluster_claim,num_texts,error,model_used
Pro-Energy,Pro-Energy_14,"Government energy and regulatory policies disproportionately harm small businesses, rural communities, and working families while failing to deliver meaningful benefits.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_19,The U.S.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_24,Renewable energy projects reduce the need for higher property taxes by generating significant local revenue.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_30,The oil and gas industry significantly benefits public education and workforce development.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_31,Trump’s energy policies prioritize the fossil fuel industry over renewable alternatives.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_33,Renewable energy leasing provides farmers with a sustainable and economically beneficial way to preserve their land and livelihoods.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_34,Investing in clean and renewable energy is essential for achieving American energy independence and economic growth.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_35,Nuclear energy is the most viable solution for meeting future global energy demands while reducing carbon emissions.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_36,Hydrogen energy is the most critical solution for achieving global net-zero emissions and future energy dominance.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_38,Iowa's transition to renewable energy has driven economic growth while lowering costs and improving public health.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_39,Federal subsidies for renewable energy should be eliminated to protect the economic interests of the oil and natural gas industry.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_42,Offshore wind is the most viable path to a sustainable and economically beneficial energy future.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_44,Expanding domestic oil and gas production is essential for U.S.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_48,The oil and gas industry prioritizes profit over public safety and environmental responsibility.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_5,South Dakota must reject government-backed efforts to seize private property for Green New Deal projects.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_50,Taxpayer money should not subsidize fossil fuel companies.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_51,"Trump’s ""drill, baby, drill"" policy failed to increase domestic oil production or lower gas prices.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_57,Public lands should be protected from fossil fuel extraction rather than exploited for corporate profit.,5,,mistral-large-2407
Pro-Energy,Pro-Energy_58,"Protecting the Arctic from oil and gas drilling is necessary to preserve its ecosystems, Indigenous communities, and global climate.",5,,mistral-large-2407
Pro-Energy,Pro-Energy_8,"Kamala Harris is a dangerous, hypocritical radical whose policies and leadership would harm America.",5,,mistral-large-2407
