cid,text,claim,stance,cluster_id,cluster_prob
1920055175232030,"In the video, a Senator exposed $32M in greed. Now you can expose your true rate too 👇",Claim,Neutral,-1,0.0
1420143595739543,"Think DEI is over? Think again—Diversity, Equity, and Inclusion policies are undermining American institutions.",Claim,Pro-Energy,Pro-Energy_12,1.0
1151803220124119,"RFK Jr. is making America sicker. More outbreaks. Higher costs. Dangerous lies. This is what happens when conspiracies guide policy.,RFK Jr. is making America sicker. More outbreaks. Higher costs. Dangerous lies. This is what happens when conspiracies guide policy.,RFK Jr. is making America sicker. More outbreaks. Higher costs. Dangerous lies. This is what happens when conspiracies guide policy.,RFK Jr. is making America sicker. More outbreaks. Higher costs. Dangerous lies. This is what happens when conspiracies guide policy.",Claim,Neutral,Neutral_32,1.0
1077671437899427,"You trust your pediatrician to help keep your kids healthy, but RFK Jr. is interfering. By spreading junk science and politicizing government health care agencies, his leadership makes our children less safe. Tell Congress to protect our kids.",Claim,Neutral,Neutral_32,1.0
1113427194265921,Yesterday we moved on to the dysgenic portion of the program with Donald Trump and Robert F. Kennedy Jr.’s press conference on autism where the MAGA/MAHA nexus made it clear that they view autistic people as mistakes; unfortunate victims of weak mothers who must be “cured.”,Claim,Neutral,Neutral_32,1.0
583081201461284,"RFK Jr. has ordered the FDA to consider nationwide restrictions on mifepristone, an abortion pill that is safer than Tylenol, citing junk science and fringe conspiracy theories. Fight back!",Claim,Neutral,Neutral_32,1.0
3091537204359777,"⚠️ SCIENCE EMERGENCY: 2X MATCH AVAILABLE! ⚠️ Trump is dismantling the science-based solutions we need to protect public health and fight climate change. He has exited the Paris Agreement, rolled back clean energy efforts, fired federal scientists, and waged an all-out assault on environmental justice work. Trump’s corruption may be backed by his billionaire donors, but we can’t afford to lose this fight. Give now to the Science Emergency Fund, and for a limited time, your gift will be worth 2X.,⚠️ SCIENCE EMERGENCY: 2X MATCH AVAILABLE! ⚠️ Trump is dismantling the science-based solutions we need to protect public health and fight climate change. He has exited the Paris Agreement, rolled back clean energy efforts, fired federal scientists, and waged an all-out assault on environmental justice work. Trump’s corruption may be backed by his billionaire donors, but we can’t afford to lose this fight. Give now to the Science Emergency Fund, and for a limited time, your gift will be worth 2X.",Claim,Pro-Climate,Pro-Climate_38,0.5255429744720459
655281587127023,"Parents rely on sound medical information to keep their kids safe, but junk science and conspiracy theories that make it harder for families and doctors to protect children.",Claim,Neutral,Neutral_32,0.7311909198760986
1121734006586526,"The fight to defend science has never been more urgent. Renew your membership and double your impact with a 2X Match gift!,The fight to defend science has never been more urgent. Renew your membership and double your impact with a 2X Match gift!",Claim,Neutral,Neutral_38,0.8199248313903809
1178117897469499,"🧪 This week’s new distraction (still no Epstein files?) is actually an old one. The claim that acetaminophen (Tylenol™) causes autism has been floating around for decades—and it’s just as much junk science now as it was then. As a father of an autistic child, who is now an adult, I pored over the medical literature. What I found is clear: autism has a strong genetic basis. Most of us likely carry at least one of the potential genes, and environmental triggers may play a role—but acetaminophen isn’t one of them. This drug has been the go-to pain reliever for pregnant women since the 1960s. So if it were the cause, why did autism diagnoses spike in the 1990s and 2000s? The timeline doesn’t add up. And when researchers control for sibling differences—where a mother used acetaminophen during one pregnancy but not another—the autism rates are the same. That points to family factors, not medication. But that won’t stop Robert Kennedy Jr. from pushing anti-science narratives. Under his leadership, HHS is gutting real research in favor of conspiracy theories and fearmongering. Our current senators won’t stand up to this. I will. We need rational voices in Washington—leaders who will fight  …",Claim,Neutral,Neutral_32,1.0
1327816768967788,"Gavin Newsom is reversing course on the oil industry just like he did with Diablo power plant. It all has to do with avoiding calamity while running for President! Of Tar Balls, Blind Poodles, and our Feckless Governor! Do you remember when environmentalists wanted to “green” the planet? We even called them greenies. Well, there is only one way to green the planet and that is by increased CO2 levels in the atmosphere. Imagine the contortions the movement went through when they came to the realization that, besides the most significant amounts of organic CO2 being produced from natural sources, that their arch enemy, the oil industry, was also a source by way of combustible fuels. Well, suddenly, increased CO2 was a no-no, and we never heard them express the goal of greening the planet ever again. By the way, the planet is greener than it has been in centuries! Well, that contortion was nothing compared to the about-face Gavin Newsom just did. After making the oil industry public enemy #1, president-elect Gavin is now becoming a pragmatist in that he realizes that, as reported by Cal Matters, “ We are all the beneficiaries of oil and gas. No one’s naive about that,” Newsom said at a …",Claim,Pro-Energy,-1,0.0
724590283810538,"Measles was declared eliminated in the US 25 years ago—but now, it’s roaring back to life because of the barrage of junk information from Robert F. Kennedy, Jr., and his allies. Just this year, several people have died from this preventable virus, and more outbreaks will follow if RFK continues to ignore decades of science and change vaccine recommendations. It’s time to take urgent action: Please, sign the petition now to support commonsense vaccine policy.",Claim,Neutral,Neutral_32,1.0
1077871903789967,THIS RFK Jr shocker is so outrageous… it could get him impeached Click now to see what RFK Jr is inspiring.,Claim,Neutral,-1,0.0
bafyreif4xaj3ycf2zrfusejgpajccukdsiqlvc46jmwq5dqaxrompgtzbq,The article doesn't say that FEMA is responsible. Climate change is responsible and mapping hasn't kept up with that - which is everybody's fault.,Claim,Pro-Climate,-1,0.0
bafyreihxsahowckmbx2wkiqlu3uzx6izsepglvoue5it3soqi2a22i5ny4,"The ocean forecast is in… and it’s alarming. Climate change, biodiversity loss and pollution are pushing our ocean to the brink. Protecting it means protecting all life on Earth. Join our #WorldOceanDay call for greater efforts to #SaveOurOcean. www.unep.org/topics/ocean...",Claim,Pro-Climate,Pro-Climate_62,0.5665212273597717
bafyreifp66wglv2xoekscnfybtrh5q2qxuojkjxslr7r23yz7ecpt7enaq,Making people sicker with backroom deals. Voting matters. Your town is next. https://jacobin.com/2025/07/elon-musk-memphis-pollution-colossus #musk #ai #ClimateCrimes #uspol #tennessee #memphis,Claim,Neutral,Neutral_62,0.5251601934432983
bafyreic6vlec3e63fo4gp7gvux7ahdzubrpzjvihlk6osasr3ehjpncazi,"Yes, and libs have worked pretty hard to find other markets for trade. The kicker is so much of our exports are oil/gas, and electricity that can't be sold to countries farther away. Too, the auto industry, mining, wood product production - lots of jobs at stake.",Claim,Pro-Energy,-1,0.0
